s1
m5
1,-,-,-,-
-,-,1,-,-
-,-,-,1,-
-,-,-,0,-
-,-,1,-,-
1,-,-,-,-
-,-,1,-,-
-,-,0,-,-
-,-,0,-,-
-,-,-,-,-
-,-,1,-,-
-,-,-,-,-
m7
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
-,-,-,-,1
-,-,1,-,-
-,-,0,-,-
-,-,0,-,-
-,-,0,-,-
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
-,-,-,-,1
-,-,1,-,-
-,-,0,-,-
-,1,-,-,-
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
-,-,-,-,1
-,-,1,-,-
-,-,0,-,-
-,-,0,-,-
-,-,0,-,-
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
-,-,-,-,1
-,-,1,-,-
-,-,0,-,-
-,1,-,-,-
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
-,-,-,-,1
-,-,1,-,-
-,-,0,-,-
-,-,0,-,-
-,-,0,-,-
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
-,-,-,-,1
-,-,1,-,-
-,1,-,-,-
-,1,-,-,-
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
-,-,-,-,1
-,-,1,-,-
-,-,0,-,-
-,-,0,-,-
-,-,0,-,-
1,-,-,-,-
1,-,-,-,-
1,-,-,-,-
-,-,-,-,1
-,-,1,-,-
-,1,-,-,-
-,1,-,-,-
-,1,-,-,-
-,1,-,-,-
-,1,-,-,-
-,1,-,-,-
-,0,-,-,-
1,-,-,-,-
-,-,-,-,-
m1
